,company,location,skills,experience
0,cross-tab marketing services pvt.,Mumbai,"macros  ,  vba  ,  data analyst",1 - 3 yrs
1,infoanalytica consulting pvt ltd,Ahmedabad,"business rules  ,  sql  ,  Data Analyst",5 - 8 yrs
2,TEAMPLUS STAFFING SOLUTION PVT. LTD.,Pune,"dwh  ,  business intelligence  ,  Data Analyst",3 - 6 yrs
3,Fine Jobs Consultant Pvt. Ltd.,Noida/Greater Noida,"data analysis  ,  consulting  ,  it consulting  ,  data analyst  ,  infrastructure",0 - 3 yrs
4,Randstad MENA,Bengaluru / Bangalore,"advanced excel  ,  business analyst  ,  data analyst  ,  alteryx",3 - 6 yrs
5,ikomet Technology Solutions Pvt. Ltd.,Chennai,"macros  ,  visualization  ,  bi  ,  data analyst  ,  vba",0 - 3 yrs
6,Faircent.com,Gurgaon,"data analytics  ,  vba  ,  data analyst  ,  sql",3 - 6 yrs
7,CoinDCX,Mumbai,"tableau  ,  data visualization  ,  dashboards  ,  data analyst  ,  sql",1 - 4 yrs
8,Analytics Vidhya,Pune,"data analysis  ,  business requirements  ,  director  ,  dashboards  ,  data analyst  ,  tableau  ,  visio",2 - 3 yrs
9,Analytics Vidhya,"Mumbai,  Pune","sas  ,  consulting  ,  program management  ,  mobile  ,  data analyst  ,  sql  ,  sas  /  sql",4 - 8 yrs
10,Analytics Vidhya,Chennai,"visualization  ,  sas  ,  spotfire  ,  dashboards  ,  data analyst  ,  alteryx  ,  software packages",4 - 8 yrs
11,Analytics Vidhya,Gurgaon,"data analysis  ,  predictive analytics  ,  spss  ,  data analyst  ,  sql  ,  factor analysis",2 - 4 yrs
12,Nielsen Research Ltd. Co.,,"sql  ,  data analysis  ,  sas  ,  consulting  ,  data analyst  ,  vba",1 - 3 yrs
13,Lalamove,Malaysia,"bi  ,  sql  ,  data visualization  ,  macros  ,  data analyst  ,  tableau  ,  analyst",1 - 3 yrs
14,TECHNOPARK TRIVANDRUM,Thiruvananthapuram,"consulting  ,  dashboards  ,  data analyst  ,  sql  ,  tableau  ,  data science  ,  statistical modeling",2 - 5 yrs
15,Randstad MENA,Chennai,"macros  ,  data analysis  ,  data analyst  ,  sql  ,  vb script  ,  written communication",1 - 4 yrs
16,Randstad MENA,Hyderabad/Secunderabad,"data analysis  ,  bi  ,  dashboards  ,  data analyst  ,  sql  ,  statistical analysis",0 - 3 yrs
17,ADROIT LEARNING AND MANPOWER PVT LTD,Ahmedabad,"data analysis  ,  dashboards  ,  data analyst  ,  sql  ,  tableau  ,  infrastructure  ,  data visualization",7 - 10 yrs
18,SEVEN CONSULTANCY,Bengaluru / Bangalore,"data analysis  ,  data analytics  ,  data mining  ,  business analysis  ,  business analyst  ,  data analyst  ,  data science  ,  advanced excel",3 - 6 yrs
19,AlphaSense,New York City,"visualization  ,  bi  ,  business analyst  ,  dashboards  ,  sql  ,  data analysis  ,  consulting  ,  data analyst  ,  analytics reporting  ,  tableau  ,  infrastructure",2 - 3 yrs
20,ZODIAC HR CONSULTANTS PVT LTD.,Mumbai,"visualization  ,  business requirements  ,  data mining  ,  bi  ,  sql  ,  data science  ,  data analytics  ,  data analysis  ,  data analyst  ,  tableau",6 - 9 yrs
21,ZODIAC HR CONSULTANTS PVT LTD.,Mumbai,"visualization  ,  business requirements  ,  data mining  ,  bi  ,  sql  ,  data science  ,  data analytics  ,  data analysis  ,  data analyst  ,  tableau",6 - 9 yrs
22,ZODIAC HR CONSULTANTS PVT LTD.,"Navi Mumbai,  Mumbai","data analysis  ,  ensemble  ,  system analyst  ,  data analyst  ,  data scientist  ,  data visualization",2 - 5 yrs
23,Nielsen Research Ltd. Co.,"Vadodara,  Bengaluru / Bangalore","spss  ,  data science  ,  statistical modeling  ,  sas  ,  business analytics  ,  data analyst  ,  consultant",0 - 2 yrs
24,Taboola,Delhi,"data analytics  ,  data analysis  ,  bi  ,  dashboards  ,  data analyst  ,  sql  ,  tableau  ,  crm",2 - 5 yrs
25,Analytics Vidhya,Gurgaon,"data analytics  ,  sas  ,  spss  ,  dashboards  ,  data analyst  ,  sql  ,  tableau  ,  statistical modeling  ,  data visualization",2 - 5 yrs
26,Aptean,,"c  ,  director  ,  reporting analyst  ,  bi  ,  dashboards  ,  data analyst  ,  sql  ,  process documentation",4 - 7 yrs
27,J Walter Thompson India Pvt Ltd,,"bi  ,  data science  ,  testing tools  ,  advanced excel  ,  crm  ,  san  ,  data analyst  ,  tableau",0 - 3 yrs
28,47Billion Information Technologies Pvt Ltd,Indore,"big data analytics  ,  data mining  ,  storage  ,  dashboards  ,  data analyst  ,  security  ,  database  ,  analyst",0 - 3 yrs
29,JLL,,"bi  ,  security  ,  data analysis  ,  consulting  ,  data analyst  ,  user training  ,  visio  ,  business objects",3 - 6 yrs
